2020-12-28 14:16:53.851 [main] INFO  com.gmcc.yzcardmessage.service.impl.SendTradeMessageImpl - 本次记录待发送条数:0
2020-12-28 14:49:25.995 [main] INFO  com.gmcc.yzcardmessage.YzcardmessageApplication - Starting YzcardmessageApplication on 3FBFOBOT04OG7VL with PID 12724 (D:\IDEASpace\yzcardmessage\target\classes started by Administrator in D:\IDEASpace\yzcardmessage)
2020-12-28 14:49:25.999 [main] INFO  com.gmcc.yzcardmessage.YzcardmessageApplication - The following profiles are active: dev
2020-12-28 14:49:26.294 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 6.0.21.Final
2020-12-28 14:49:27.765 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 18091 (http)
2020-12-28 14:49:27.776 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-18091"]
2020-12-28 14:49:27.777 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2020-12-28 14:49:27.778 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.41]
2020-12-28 14:49:27.892 [main] INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2020-12-28 14:49:27.892 [main] INFO  org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1788 ms
2020-12-28 14:49:28.493 [main] INFO  org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2020-12-28 14:49:28.728 [main] INFO  org.springframework.scheduling.concurrent.ThreadPoolTaskScheduler - Initializing ExecutorService 'taskScheduler'
2020-12-28 14:49:28.778 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-18091"]
2020-12-28 14:49:28.805 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 18091 (http) with context path ''
2020-12-28 14:49:28.808 [main] INFO  com.gmcc.yzcardmessage.YzcardmessageApplication - Started YzcardmessageApplication in 3.571 seconds (JVM running for 5.762)
2020-12-28 14:49:28.826 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariCP - Starting...
2020-12-28 14:49:30.104 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariCP - Start completed.
